verse_id,lang,chars,gpt_tokens,o200k_tokens,spm_tokens,chars_per_gpt_tok,chars_per_o200k_tok,chars_per_spm_tok
49,sa,100,101,48,20,0.9900990099009901,2.0833333333333335,5.0
49,sa_latn,104,68,42,17,1.5294117647058822,2.4761904761904763,6.117647058823529
49,hi,160,157,58,36,1.019108280254777,2.7586206896551726,4.444444444444445
49,en,132,35,35,29,3.7714285714285714,3.7714285714285714,4.551724137931035
50,sa,97,102,51,20,0.9509803921568627,1.9019607843137254,4.85
50,sa_latn,105,65,45,16,1.6153846153846154,2.3333333333333335,6.5625
50,hi,156,160,56,33,0.975,2.7857142857142856,4.7272727272727275
50,en,150,42,42,32,3.5714285714285716,3.5714285714285716,4.6875
51,sa,123,128,62,25,0.9609375,1.9838709677419355,4.92
51,sa_latn,126,78,59,23,1.6153846153846154,2.135593220338983,5.478260869565218
51,hi,254,255,77,49,0.996078431372549,3.2987012987012987,5.183673469387755
51,en,202,44,45,44,4.590909090909091,4.488888888888889,4.590909090909091
52,sa,122,125,60,30,0.976,2.033333333333333,4.066666666666666
52,sa_latn,129,81,61,24,1.5925925925925926,2.1147540983606556,5.375
52,hi,264,259,75,55,1.0193050193050193,3.52,4.8
52,en,264,61,61,55,4.327868852459017,4.327868852459017,4.8
53,sa,136,137,61,28,0.9927007299270073,2.2295081967213113,4.857142857142857
53,sa_latn,150,108,78,30,1.3888888888888888,1.9230769230769231,5.0
53,hi,173,183,59,39,0.9453551912568307,2.9322033898305087,4.435897435897436
53,en,178,43,41,38,4.1395348837209305,4.341463414634147,4.684210526315789
54,sa,115,116,58,23,0.9913793103448276,1.9827586206896552,5.0
54,sa_latn,127,81,58,26,1.5679012345679013,2.189655172413793,4.884615384615385
54,hi,259,254,78,58,1.0196850393700787,3.3205128205128207,4.4655172413793105
54,en,225,50,49,47,4.5,4.591836734693878,4.787234042553192
55,sa,100,106,55,20,0.9433962264150944,1.8181818181818181,5.0
55,sa_latn,105,74,55,17,1.4189189189189189,1.9090909090909092,6.176470588235294
