verse_id,lang,segment_type,chars,gpt_tokens,o200k_tokens,gemini_tokens,spm_tokens,chars_per_gpt_tok,chars_per_o200k_tok,chars_per_gemini_tok,chars_per_spm_tok
32,sa,sa_verse,197,192,84,78,37,1.0260416666666667,2.3452380952380953,2.5256410256410255,5.324324324324325
32,en,en_trans,223,52,52,51,50,4.288461538461538,4.288461538461538,4.372549019607843,4.46
32,en,en_mean,679,141,142,136,165,4.815602836879433,4.78169014084507,4.992647058823529,4.115151515151515
32,hi,hi_trans,216,212,54,51,50,1.0188679245283019,4.0,4.235294117647059,4.32
32,hi,hi_mean,1096,1060,336,279,277,1.0339622641509434,3.261904761904762,3.92831541218638,3.9566787003610107
33,sa,sa_verse,185,177,90,80,35,1.0451977401129944,2.0555555555555554,2.3125,5.285714285714286
33,en,en_trans,389,99,97,95,87,3.9292929292929295,4.010309278350515,4.094736842105263,4.471264367816092
33,en,en_mean,837,214,210,204,210,3.911214953271028,3.9857142857142858,4.102941176470588,3.9857142857142858
33,hi,hi_trans,385,374,134,108,88,1.0294117647058822,2.873134328358209,3.564814814814815,4.375
33,hi,hi_mean,748,730,253,219,194,1.0246575342465754,2.9565217391304346,3.415525114155251,3.8556701030927836
34,sa,sa_verse,185,177,90,80,35,1.0451977401129944,2.0555555555555554,2.3125,5.285714285714286
34,en,en_trans,389,99,97,95,87,3.9292929292929295,4.010309278350515,4.094736842105263,4.471264367816092
34,en,en_mean,837,214,210,204,210,3.911214953271028,3.9857142857142858,4.102941176470588,3.9857142857142858
34,hi,hi_trans,385,374,134,108,88,1.0294117647058822,2.873134328358209,3.564814814814815,4.375
34,hi,hi_mean,748,730,253,219,194,1.0246575342465754,2.9565217391304346,3.415525114155251,3.8556701030927836
35,sa,sa_verse,195,179,94,87,32,1.089385474860335,2.074468085106383,2.2413793103448274,6.09375
35,en,en_trans,361,94,91,88,76,3.8404255319148937,3.967032967032967,4.1022727272727275,4.75
35,en,en_mean,1404,341,326,323,388,4.117302052785924,4.306748466257669,4.3467492260061915,3.618556701030928
35,hi,hi_trans,388,369,123,103,86,1.051490514905149,3.154471544715447,3.766990291262136,4.511627906976744
35,hi,hi_mean,1138,1088,368,320,313,1.0459558823529411,3.092391304347826,3.55625,3.635782747603834
36,sa,sa_verse,195,179,94,87,32,1.089385474860335,2.074468085106383,2.2413793103448274,6.09375
36,en,en_trans,361,94,91,88,76,3.8404255319148937,3.967032967032967,4.1022727272727275,4.75
36,en,en_mean,1404,341,326,323,388,4.117302052785924,4.306748466257669,4.3467492260061915,3.618556701030928
36,hi,hi_trans,388,369,123,103,86,1.051490514905149,3.154471544715447,3.766990291262136,4.511627906976744
36,hi,hi_mean,1138,1088,368,320,313,1.0459558823529411,3.092391304347826,3.55625,3.635782747603834
37,sa,sa_verse,170,167,91,81,26,1.0179640718562875,1.8681318681318682,2.0987654320987654,6.538461538461538
